imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,reminder.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,reminder_2.started,trial_counter_2.started,feedback.stopped,background_3.stopped,textbox.stopped,reminder_2.stopped,trial_counter_2.stopped,thanks.started,background_4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
same/303_DV_C2.jpg,left,same,0,0,0,5,17.966027599999506,,0.01271190000079514,0.059527499999603606,0.059527499999603606,0.059527499999603606,17.902927200000704,17.914973900000405,17.966027599999506,17.966027599999506,17.966027599999506,17.966027599999506,17.966027599999506,22.670356200000242,left,1,4.702574699998877,None,22.67382540000108,22.692664199999854,22.692664199999854,22.692664199999854,22.692664199999854,23.685718599999745,,,,,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
different/013_235_R.jpg,right,different,0,1,1,6,23.712336099999447,,,,,,,23.6859757000002,23.712336099999447,23.712336099999447,23.712336099999447,23.712336099999447,23.712336099999447,25.31992999999966,left,0,1.595917599999666,None,25.320290400000886,25.336428000000524,25.336428000000524,25.336428000000524,25.336428000000524,26.319613800000297,26.359662200000457,26.359662200000457,26.359662200000457,26.359662200000457,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
same/235_C2_DV.jpg,left,same,0,2,2,4,26.359662200000457,,,,,,,26.319892999999865,26.359662200000457,26.359662200000457,26.359662200000457,26.359662200000457,26.359662200000457,30.903515899999547,left,1,4.534485499998482,None,30.90388990000065,30.918558200000916,30.918558200000916,30.918558200000916,30.918558200000916,31.902667600001223,31.93414500000108,31.93414500000108,31.93414500000108,31.93414500000108,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
same/136_C2_DV.jpg,left,same,0,3,3,0,31.93414500000108,,,,,,,31.90291740000066,31.93414500000108,31.93414500000108,31.93414500000108,31.93414500000108,31.93414500000108,36.00365950000014,left,1,4.065404099999796,None,36.00404549999985,36.018764100001135,36.018764100001135,36.018764100001135,36.018764100001135,37.00264749999951,37.03340770000068,37.03340770000068,37.03340770000068,37.03340770000068,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
same/168_C2_DV.jpg,left,same,0,4,4,2,37.03340770000068,,,,,,,37.00290959999984,37.03340770000068,37.03340770000068,37.03340770000068,37.03340770000068,37.03340770000068,44.203685500000574,left,1,7.161571599999661,None,44.20406240000011,44.218729899999744,44.218729899999744,44.218729899999744,44.218729899999744,45.2027620000008,45.232906000001094,45.232906000001094,45.232906000001094,45.232906000001094,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
same/139_DV_C2.jpg,left,same,0,5,5,1,45.232906000001094,,,,,,,45.20304130000113,45.232906000001094,45.232906000001094,45.232906000001094,45.232906000001094,45.232906000001094,53.437716100001126,left,1,8.198723499999687,None,53.438003299999764,53.45219940000061,53.45219940000061,53.45219940000061,53.45219940000061,54.43614090000119,54.47115979999944,54.47115979999944,54.47115979999944,54.47115979999944,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
different/077_133_R.jpg,right,different,0,6,6,11,54.47115979999944,,,,,,,54.43638370000008,54.47115979999944,54.47115979999944,54.47115979999944,54.47115979999944,54.47115979999944,57.68672569999944,right,1,3.214264700000058,None,57.68704720000096,57.70228210000096,57.70228210000096,57.70228210000096,57.70228210000096,58.68597469999986,58.717481800000314,58.717481800000314,58.717481800000314,58.717481800000314,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
same/170_DV_C2.jpg,left,same,0,7,7,3,58.717481800000314,,,,,,,58.68623230000048,58.717481800000314,58.717481800000314,58.717481800000314,58.717481800000314,58.717481800000314,68.02039599999989,left,1,9.287129000000277,None,68.0207102000004,68.03566260000116,68.03566260000116,68.03566260000116,68.03566260000116,69.01958190000005,69.05664079999951,69.05664079999951,69.05664079999951,69.05664079999951,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
different/049_218_L.jpg,right,different,0,8,8,9,69.05664079999951,,,,,,,69.0198376999997,69.05664079999951,69.05664079999951,69.05664079999951,69.05664079999951,69.05664079999951,71.9532648000004,right,1,2.882019799999398,None,71.95370960000037,71.96894400000019,71.96894400000019,71.96894400000019,71.96894400000019,72.95359910000116,72.97894079999969,72.97894079999969,72.97894079999969,72.97894079999969,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
different/076_109_R.jpg,right,different,0,9,9,10,72.97894079999969,,,,,,,72.9538620000003,72.97894079999969,72.97894079999969,72.97894079999969,72.97894079999969,72.97894079999969,78.23640329999944,right,1,5.241322100000616,None,78.23675960000037,78.25220640000043,78.25220640000043,78.25220640000043,78.25220640000043,79.23623229999976,79.26017090000096,79.26017090000096,79.26017090000096,79.26017090000096,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
different/019_074_L.jpg,right,different,0,10,10,7,79.26017090000096,,,,,,,79.23650050000106,79.26017090000096,79.26017090000096,79.26017090000096,79.26017090000096,79.26017090000096,81.65359300000091,right,1,2.3914746999998897,None,81.65392419999989,81.66882489999989,81.66882489999989,81.66882489999989,81.66882489999989,82.65294979999999,82.6748961000012,82.6748961000012,82.6748961000012,82.6748961000012,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
different/025_235_L.jpg,right,different,0,11,11,8,82.6748961000012,,,,,,,82.65328760000011,82.6748961000012,82.6748961000012,82.6748961000012,82.6748961000012,82.6748961000012,84.60329180000008,right,1,1.913132499999847,None,84.60367030000089,84.619581500001,84.619581500001,84.619581500001,84.619581500001,85.60363549999965,85.6196699000011,85.6196699000011,85.6196699000011,85.6196699000011,,,,436257,001,2023-10-22_15h53.33.165,glasgow_face_matching,2023.2.1,59.989729758411315,2023-10-22 15h53.43.855659 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.60368480000034,85.6196699000011,85.6196699000011,,,,,,,,
